Airline,Type of Traveller,Month Flown,Seat Comfort,Staff Service,Food & Beverages,Inflight Entertainment,Value For Money,Overall Rating
Singapore Airlines,Family Leisure,October 2023,1,3,5,5,4,1.0
Singapore Airlines,Solo Leisure,November 2023,3,5,5,1,1,1.0
Singapore Airlines,Couple Leisure,May 2023,2,5,1,4,1,1.0
Singapore Airlines,Family Leisure,August 2023,5,5,4,5,1,1.0
Singapore Airlines,Family Leisure,October 2023,5,5,5,5,4,3.666666666666666
Singapore Airlines,Solo Leisure,September 2023,1,5,5,4,5,5.0
Singapore Airlines,Solo Leisure,August 2023,2,5,2,3,5,4.555555555555555
Singapore Airlines,Solo Leisure,October 2023,4,5,2,5,1,1.0
Singapore Airlines,Business,October 2023,4,5,5,4,3,1.8888888888888888
Singapore Airlines,Business,August 2023,5,2,3,5,1,1.0
Singapore Airlines,Solo Leisure,September 2023,4,3,4,5,4,4.555555555555555
Singapore Airlines,Couple Leisure,September 2023,1,5,5,2,5,5.0
Singapore Airlines,Couple Leisure,September 2023,5,2,5,5,5,5.0
Singapore Airlines,Couple Leisure,September 2023,3,5,5,5,2,2.7777777777777777
Singapore Airlines,Family Leisure,September 2023,5,5,5,3,5,5.0
Singapore Airlines,Couple Leisure,September 2023,5,3,1,5,5,4.111111111111111
Singapore Airlines,Couple Leisure,June 2023,1,5,5,4,5,4.111111111111111
Singapore Airlines,Couple Leisure,September 2023,4,5,5,4,3,5.0
Singapore Airlines,Business,April 2023,1,5,5,5,5,5.0
Singapore Airlines,Solo Leisure,September 2023,3,5,4,4,5,5.0
Singapore Airlines,Solo Leisure,September 2023,4,2,5,4,5,5.0
Singapore Airlines,Solo Leisure,July 2023,4,5,4,4,4,3.666666666666666
Singapore Airlines,Couple Leisure,July 2023,5,1,5,3,5,4.555555555555555
Singapore Airlines,Business,August 2023,1,5,4,2,4,5.0
Singapore Airlines,Couple Leisure,January 2023,5,5,4,5,1,1.0
Singapore Airlines,Solo Leisure,May 2023,5,5,4,5,5,3.2222222222222223
Singapore Airlines,Family Leisure,July 2023,3,3,3,2,4,1.4444444444444444
Singapore Airlines,Solo Leisure,July 2023,2,4,3,4,4,5.0
Singapore Airlines,Family Leisure,April 2023,1,5,4,4,4,4.111111111111111
Singapore Airlines,Family Leisure,April 2023,4,5,5,2,5,4.555555555555555
Singapore Airlines,Solo Leisure,May 2023,5,4,1,4,2,1.4444444444444444
Singapore Airlines,Couple Leisure,June 2023,3,5,2,2,3,3.2222222222222223
Singapore Airlines,Couple Leisure,February 2023,5,3,1,5,3,3.2222222222222223
Singapore Airlines,Solo Leisure,April 2023,3,1,1,5,2,1.4444444444444444
Singapore Airlines,Business,May 2023,4,1,2,5,4,3.2222222222222223
Singapore Airlines,Solo Leisure,May 2023,1,5,2,1,4,4.555555555555555
Singapore Airlines,Solo Leisure,May 2023,3,3,2,3,4,3.666666666666666
Singapore Airlines,Solo Leisure,May 2023,3,2,5,4,5,5.0
Singapore Airlines,Business,April 2023,2,5,4,4,2,2.7777777777777777
Singapore Airlines,Business,May 2023,3,2,5,5,2,1.0
Singapore Airlines,Couple Leisure,May 2023,2,5,1,4,1,1.0
Singapore Airlines,Business,May 2023,4,5,2,5,1,1.4444444444444444
Singapore Airlines,Solo Leisure,February 2023,5,5,3,2,4,4.111111111111111
Singapore Airlines,Couple Leisure,May 2023,4,5,3,3,2,2.7777777777777777
Singapore Airlines,Family Leisure,May 2023,5,4,4,5,3,2.333333333333333
Singapore Airlines,Couple Leisure,May 2023,3,5,4,5,2,2.333333333333333
Singapore Airlines,Solo Leisure,April 2023,2,5,4,4,3,2.333333333333333
Singapore Airlines,Couple Leisure,May 2023,3,5,4,4,5,5.0
Singapore Airlines,Couple Leisure,May 2023,5,4,2,5,5,5.0
Singapore Airlines,Couple Leisure,May 2023,4,5,5,3,5,5.0
Singapore Airlines,Solo Leisure,April 2023,4,5,2,5,1,1.4444444444444444
Singapore Airlines,Solo Leisure,April 2023,5,3,3,5,1,2.333333333333333
Singapore Airlines,Couple Leisure,April 2023,4,3,5,5,4,4.111111111111111
Singapore Airlines,Solo Leisure,April 2023,2,5,5,5,4,5.0
Singapore Airlines,Couple Leisure,March 2023,5,5,5,4,4,4.555555555555555
Singapore Airlines,Solo Leisure,April 2023,3,5,1,5,4,4.555555555555555
Singapore Airlines,Couple Leisure,April 2023,5,3,5,4,5,4.111111111111111
Singapore Airlines,Family Leisure,April 2023,5,5,5,5,2,2.333333333333333
Singapore Airlines,Business,April 2023,3,5,1,3,1,1.0
Singapore Airlines,Solo Leisure,April 2023,5,5,4,3,5,3.666666666666666
Singapore Airlines,Couple Leisure,March 2023,5,5,2,5,3,3.2222222222222223
Singapore Airlines,Family Leisure,March 2023,4,5,5,5,1,1.4444444444444444
Singapore Airlines,Business,March 2023,5,5,3,4,4,5.0
Singapore Airlines,Couple Leisure,March 2023,4,5,5,4,5,5.0
Singapore Airlines,Couple Leisure,March 2023,1,4,4,5,4,5.0
Singapore Airlines,Business,February 2023,5,5,4,1,3,2.7777777777777777
Singapore Airlines,Couple Leisure,January 2023,1,5,2,3,5,4.555555555555555
Singapore Airlines,Couple Leisure,January 2023,5,5,2,4,4,3.666666666666666
Singapore Airlines,Family Leisure,January 2023,5,5,1,1,1,1.4444444444444444
Singapore Airlines,Couple Leisure,January 2023,1,5,5,5,5,5.0
Singapore Airlines,Family Leisure,December 2022,5,3,1,1,3,3.666666666666666
Singapore Airlines,Solo Leisure,February 2023,5,5,1,5,5,5.0
Singapore Airlines,Business,February 2023,4,5,2,5,5,4.555555555555555
Singapore Airlines,Family Leisure,January 2023,3,5,2,5,1,1.0
Singapore Airlines,Solo Leisure,January 2023,5,2,1,3,5,5.0
Singapore Airlines,Solo Leisure,December 2022,4,2,3,3,5,5.0
Singapore Airlines,Solo Leisure,January 2023,3,3,4,5,1,1.0
Singapore Airlines,Couple Leisure,January 2023,3,5,1,5,2,2.7777777777777777
Singapore Airlines,Couple Leisure,January 2023,2,1,5,3,3,3.666666666666666
Singapore Airlines,Family Leisure,January 2023,1,1,5,4,1,1.0
Singapore Airlines,Couple Leisure,December 2022,1,5,2,4,2,2.7777777777777777
Singapore Airlines,Family Leisure,November 2022,4,5,3,5,1,2.333333333333333
Singapore Airlines,Couple Leisure,December 2022,3,5,3,1,3,3.666666666666666
Singapore Airlines,Solo Leisure,December 2022,4,2,5,5,1,1.0
Singapore Airlines,Solo Leisure,November 2022,5,3,1,4,3,4.555555555555555
Singapore Airlines,Solo Leisure,November 2022,1,3,4,3,3,2.7777777777777777
Singapore Airlines,Couple Leisure,November 2022,4,5,2,5,4,5.0
Singapore Airlines,Couple Leisure,November 2022,3,1,2,5,4,5.0
Singapore Airlines,Couple Leisure,October 2022,3,1,5,1,5,4.555555555555555
Singapore Airlines,Solo Leisure,November 2022,5,5,5,5,5,5.0
Singapore Airlines,Couple Leisure,November 2022,1,3,1,1,2,2.7777777777777777
Singapore Airlines,Couple Leisure,November 2022,1,2,2,1,4,4.111111111111111
Singapore Airlines,Solo Leisure,June 2022,5,1,5,1,1,1.0
Singapore Airlines,Couple Leisure,November 2022,3,5,5,4,3,3.2222222222222223
Singapore Airlines,Family Leisure,November 2022,5,5,1,5,5,5.0
Singapore Airlines,Family Leisure,August 2022,4,3,3,4,1,1.0
Singapore Airlines,Couple Leisure,October 2022,5,5,3,5,4,4.555555555555555
Singapore Airlines,Couple Leisure,October 2022,2,1,1,5,2,1.8888888888888888
Singapore Airlines,Solo Leisure,October 2022,2,2,5,5,5,3.666666666666666
Singapore Airlines,Family Leisure,August 2022,5,5,2,2,1,1.0
Singapore Airlines,Couple Leisure,September 2022,5,5,1,4,4,5.0
Singapore Airlines,Couple Leisure,September 2022,1,4,1,3,4,5.0
Singapore Airlines,Solo Leisure,September 2022,5,1,5,4,1,1.0
Singapore Airlines,Solo Leisure,September 2022,3,5,1,4,5,5.0
Singapore Airlines,Solo Leisure,September 2022,1,4,5,5,4,2.333333333333333
Singapore Airlines,Solo Leisure,September 2022,1,4,4,5,2,2.333333333333333
Singapore Airlines,Family Leisure,September 2022,3,1,4,3,5,5.0
Singapore Airlines,Couple Leisure,September 2022,1,5,5,4,1,1.4444444444444444
Singapore Airlines,Family Leisure,August 2022,3,5,4,2,1,1.0
Singapore Airlines,Couple Leisure,September 2022,1,1,4,1,5,5.0
Singapore Airlines,Couple Leisure,September 2022,5,5,1,5,2,2.7777777777777777
Singapore Airlines,Business,September 2022,5,5,3,5,2,1.4444444444444444
Singapore Airlines,Family Leisure,August 2022,4,5,3,4,1,1.0
Singapore Airlines,Couple Leisure,August 2022,5,1,1,4,1,1.0
Singapore Airlines,Family Leisure,August 2022,5,5,4,4,5,5.0
Singapore Airlines,Solo Leisure,August 2022,4,4,4,3,5,5.0
Singapore Airlines,Couple Leisure,July 2022,5,2,1,1,1,1.8888888888888888
Singapore Airlines,Business,April 2022,5,4,1,1,5,5.0
Singapore Airlines,Business,March 2022,3,4,3,3,5,4.555555555555555
Singapore Airlines,Solo Leisure,January 2022,4,1,4,2,4,4.111111111111111
Singapore Airlines,Solo Leisure,August 2022,3,3,4,2,2,2.333333333333333
Singapore Airlines,Solo Leisure,July 2022,4,5,2,3,5,4.555555555555555
Singapore Airlines,Solo Leisure,July 2022,5,5,2,1,5,5.0
Singapore Airlines,Solo Leisure,July 2022,1,3,4,3,4,2.7777777777777777
Singapore Airlines,Family Leisure,July 2022,3,3,5,3,1,2.333333333333333
Singapore Airlines,Solo Leisure,May 2022,5,5,1,4,4,4.111111111111111
Singapore Airlines,Solo Leisure,July 2022,1,5,3,5,1,1.0
Singapore Airlines,Solo Leisure,July 2022,2,3,5,3,1,2.333333333333333
Singapore Airlines,Couple Leisure,July 2022,3,1,1,3,5,3.2222222222222223
Singapore Airlines,Business,July 2022,5,5,1,5,4,4.555555555555555
Singapore Airlines,Business,July 2022,4,5,1,3,1,1.0
Singapore Airlines,Business,July 2022,2,5,1,5,1,1.0
Singapore Airlines,Solo Leisure,April 2022,2,1,5,5,1,1.4444444444444444
Singapore Airlines,Solo Leisure,June 2022,5,5,3,4,4,5.0
Singapore Airlines,Couple Leisure,June 2022,5,5,2,5,4,4.555555555555555
Singapore Airlines,Solo Leisure,June 2022,2,2,5,1,3,3.2222222222222223
Singapore Airlines,Family Leisure,June 2022,2,3,1,4,1,1.4444444444444444
Singapore Airlines,Solo Leisure,June 2022,4,2,1,3,5,4.555555555555555
Singapore Airlines,Family Leisure,June 2022,5,3,4,3,5,5.0
Singapore Airlines,Solo Leisure,June 2022,2,5,1,3,4,2.333333333333333
Singapore Airlines,Business,June 2022,3,2,1,4,1,1.0
Singapore Airlines,Family Leisure,May 2022,2,5,4,4,4,5.0
Singapore Airlines,Couple Leisure,June 2022,5,1,4,4,3,1.0
Singapore Airlines,Family Leisure,December 2021,2,3,4,3,1,1.4444444444444444
Singapore Airlines,Solo Leisure,May 2022,4,3,1,5,2,1.8888888888888888
Singapore Airlines,Solo Leisure,April 2022,5,1,2,3,2,1.8888888888888888
Singapore Airlines,Solo Leisure,May 2022,3,5,2,1,5,5.0
Singapore Airlines,Couple Leisure,May 2022,3,2,5,4,2,1.4444444444444444
Singapore Airlines,Business,May 2022,1,4,1,3,4,3.666666666666666
Singapore Airlines,Solo Leisure,May 2022,3,5,5,3,5,5.0
Singapore Airlines,Couple Leisure,March 2022,1,3,5,5,1,1.0
Singapore Airlines,Business,April 2022,2,1,4,5,1,1.4444444444444444
Singapore Airlines,Couple Leisure,April 2022,5,5,2,5,1,1.8888888888888888
Singapore Airlines,Couple Leisure,May 2022,4,1,2,4,1,1.0
Singapore Airlines,Solo Leisure,April 2022,4,5,1,5,1,1.0
Singapore Airlines,Couple Leisure,April 2022,1,1,5,5,1,1.4444444444444444
Singapore Airlines,Solo Leisure,March 2022,3,5,1,4,5,4.555555555555555
Singapore Airlines,Solo Leisure,January 2022,4,4,3,3,1,1.0
Singapore Airlines,Couple Leisure,April 2022,1,4,2,5,3,3.2222222222222223
Singapore Airlines,Solo Leisure,March 2022,3,3,1,5,1,1.0
Singapore Airlines,Couple Leisure,April 2022,5,1,1,3,1,1.0
Singapore Airlines,Business,April 2022,5,5,1,4,1,1.0
Singapore Airlines,Business,April 2022,4,4,3,5,1,1.0
Singapore Airlines,Solo Leisure,February 2022,2,3,5,4,3,4.111111111111111
Singapore Airlines,Couple Leisure,April 2022,3,4,3,4,2,1.0
Singapore Airlines,Solo Leisure,March 2022,4,4,5,4,3,1.0
Singapore Airlines,Solo Leisure,April 2022,4,3,2,5,5,5.0
Singapore Airlines,Couple Leisure,March 2022,3,3,1,4,5,4.555555555555555
Singapore Airlines,Business,March 2022,1,4,4,4,4,3.2222222222222223
Singapore Airlines,Solo Leisure,March 2022,4,5,5,4,1,1.4444444444444444
Singapore Airlines,Family Leisure,March 2022,4,3,5,4,4,4.555555555555555
Singapore Airlines,Solo Leisure,February 2022,5,5,3,5,4,3.2222222222222223
Singapore Airlines,Couple Leisure,January 2022,3,4,4,2,1,1.8888888888888888
Singapore Airlines,Family Leisure,December 2021,5,2,5,5,1,1.0
Singapore Airlines,Couple Leisure,November 2021,1,2,4,3,1,1.8888888888888888
Singapore Airlines,Family Leisure,December 2021,4,5,1,5,2,1.8888888888888888
Singapore Airlines,Family Leisure,December 2021,4,5,4,4,2,2.333333333333333
Singapore Airlines,Couple Leisure,December 2021,3,1,5,4,2,2.333333333333333
Singapore Airlines,Couple Leisure,November 2021,5,3,2,1,1,1.4444444444444444
Singapore Airlines,Solo Leisure,December 2021,5,2,3,5,5,4.555555555555555
Singapore Airlines,Solo Leisure,December 2021,5,4,4,3,4,1.4444444444444444
Singapore Airlines,Solo Leisure,December 2021,1,4,5,4,5,5.0
Singapore Airlines,Solo Leisure,December 2021,4,5,5,3,3,2.7777777777777777
Singapore Airlines,Solo Leisure,November 2021,1,3,4,3,5,5.0
Singapore Airlines,Couple Leisure,November 2021,5,3,4,3,3,3.666666666666666
Singapore Airlines,Business,November 2021,5,5,4,5,1,1.0
Singapore Airlines,Solo Leisure,October 2021,4,4,4,5,1,1.0
Singapore Airlines,Business,September 2021,3,5,5,5,2,1.4444444444444444
Singapore Airlines,Solo Leisure,May 2021,5,5,3,3,1,1.0
Singapore Airlines,Solo Leisure,December 2020,4,5,3,4,4,5.0
Singapore Airlines,Family Leisure,November 2020,5,5,4,5,5,5.0
Singapore Airlines,Solo Leisure,October 2020,4,5,1,5,1,1.0
Singapore Airlines,Couple Leisure,September 2020,5,4,5,5,1,1.0
Singapore Airlines,Solo Leisure,January 2020,3,5,1,4,4,4.111111111111111
Singapore Airlines,Solo Leisure,August 2020,4,3,5,3,1,1.4444444444444444
Singapore Airlines,Couple Leisure,August 2020,5,4,3,4,5,5.0
Singapore Airlines,Couple Leisure,December 2019,4,3,1,5,1,1.0
Singapore Airlines,Solo Leisure,May 2020,5,4,3,5,1,1.0
Singapore Airlines,Solo Leisure,March 2020,4,5,1,5,5,4.555555555555555
Singapore Airlines,Family Leisure,December 2019,3,5,3,3,4,4.111111111111111
Singapore Airlines,Couple Leisure,March 2020,1,4,4,5,1,1.0
Singapore Airlines,Solo Leisure,May 2019,4,5,2,2,3,1.8888888888888888
Singapore Airlines,Solo Leisure,March 2020,5,1,3,5,1,1.0
Singapore Airlines,Couple Leisure,March 2020,5,5,4,5,1,1.0
Singapore Airlines,Business,November 2019,1,3,2,5,1,1.0
Singapore Airlines,Couple Leisure,March 2020,1,5,3,5,3,4.555555555555555
Singapore Airlines,Couple Leisure,March 2020,3,5,4,5,4,4.555555555555555
Singapore Airlines,Solo Leisure,March 2020,5,4,5,3,4,4.555555555555555
Singapore Airlines,Solo Leisure,January 2020,4,3,5,5,2,1.0
Singapore Airlines,Family Leisure,March 2020,4,1,5,5,5,1.0
Singapore Airlines,Business,April 2019,3,5,5,5,1,1.0
Singapore Airlines,Family Leisure,February 2020,3,5,4,4,5,4.555555555555555
Singapore Airlines,Solo Leisure,March 2020,3,3,2,4,4,4.555555555555555
Singapore Airlines,Solo Leisure,March 2020,5,2,4,5,5,5.0
Singapore Airlines,Solo Leisure,February 2020,5,5,4,4,3,2.7777777777777777
Singapore Airlines,Solo Leisure,February 2020,5,1,5,4,4,3.666666666666666
Singapore Airlines,Solo Leisure,February 2020,4,5,4,5,4,3.2222222222222223
Singapore Airlines,Couple Leisure,January 2020,3,5,3,4,4,3.666666666666666
Singapore Airlines,Couple Leisure,February 2020,4,5,4,1,5,5.0
Singapore Airlines,Couple Leisure,February 2020,5,2,1,4,3,2.333333333333333
Singapore Airlines,Family Leisure,December 2019,5,3,1,3,4,5.0
Singapore Airlines,Couple Leisure,February 2020,5,4,5,5,1,1.8888888888888888
Singapore Airlines,Solo Leisure,January 2020,5,5,3,4,4,4.555555555555555
Singapore Airlines,Solo Leisure,January 2020,4,5,5,4,1,1.0
Singapore Airlines,Couple Leisure,February 2020,3,3,5,4,4,4.555555555555555
Singapore Airlines,Couple Leisure,February 2020,3,5,3,4,2,1.8888888888888888
Singapore Airlines,Couple Leisure,February 2020,4,4,4,1,5,4.555555555555555
Singapore Airlines,Couple Leisure,February 2020,4,5,4,4,2,1.8888888888888888
Singapore Airlines,Solo Leisure,January 2020,5,1,5,4,5,4.555555555555555
Singapore Airlines,Couple Leisure,November 2019,3,4,3,5,3,1.0
Singapore Airlines,Family Leisure,February 2020,5,5,5,2,4,3.666666666666666
Singapore Airlines,Solo Leisure,December 2019,3,4,5,4,4,3.2222222222222223
Singapore Airlines,Solo Leisure,December 2019,5,4,5,2,1,1.0
Singapore Airlines,Family Leisure,January 2020,2,5,1,3,1,2.7777777777777777
Singapore Airlines,Family Leisure,January 2020,2,4,5,4,5,5.0
Singapore Airlines,Family Leisure,December 2019,4,5,1,4,3,4.111111111111111
Singapore Airlines,Family Leisure,January 2020,5,5,1,4,1,1.0
Singapore Airlines,Solo Leisure,December 2019,4,5,5,4,5,2.7777777777777777
Singapore Airlines,Couple Leisure,January 2020,4,5,2,4,5,5.0
Singapore Airlines,Solo Leisure,November 2019,5,5,5,5,4,2.7777777777777777
Singapore Airlines,Couple Leisure,January 2020,5,5,1,4,5,5.0
Singapore Airlines,Family Leisure,December 2019,5,4,3,3,5,4.555555555555555
Singapore Airlines,Couple Leisure,December 2019,4,5,4,5,5,5.0
Singapore Airlines,Family Leisure,January 2020,5,4,4,3,5,4.555555555555555
Singapore Airlines,Couple Leisure,January 2020,5,1,2,3,4,3.666666666666666
Singapore Airlines,Couple Leisure,December 2019,5,5,5,5,3,3.2222222222222223
Singapore Airlines,Couple Leisure,December 2019,1,2,4,5,3,3.2222222222222223
Singapore Airlines,Family Leisure,July 2019,5,5,1,1,4,4.111111111111111
Singapore Airlines,Family Leisure,July 2019,2,3,3,1,4,4.111111111111111
Singapore Airlines,Family Leisure,December 2019,4,5,3,5,4,4.555555555555555
Singapore Airlines,Family Leisure,July 2019,2,4,4,4,4,3.666666666666666
Singapore Airlines,Solo Leisure,December 2019,4,5,4,4,5,4.111111111111111
Singapore Airlines,Family Leisure,December 2019,5,5,5,2,3,3.666666666666666
Singapore Airlines,Family Leisure,December 2019,3,5,1,4,5,5.0
Singapore Airlines,Family Leisure,December 2019,4,1,5,3,1,1.8888888888888888
Singapore Airlines,Family Leisure,November 2019,4,5,3,2,1,1.4444444444444444
Singapore Airlines,Couple Leisure,December 2019,5,1,4,4,4,4.111111111111111
Singapore Airlines,Solo Leisure,November 2019,5,5,1,4,5,4.555555555555555
Singapore Airlines,Business,December 2019,5,4,4,5,4,4.111111111111111
Singapore Airlines,Solo Leisure,November 2019,4,4,5,5,5,4.111111111111111
Singapore Airlines,Solo Leisure,November 2019,4,5,3,5,5,4.555555555555555
Singapore Airlines,Solo Leisure,November 2019,3,1,2,4,5,5.0
Singapore Airlines,Family Leisure,November 2019,1,5,5,5,5,5.0
Singapore Airlines,Business,December 2019,4,3,5,5,5,4.555555555555555
Singapore Airlines,Couple Leisure,November 2019,5,5,1,5,1,1.0
Singapore Airlines,Couple Leisure,October 2019,1,4,4,5,5,5.0
Singapore Airlines,Solo Leisure,November 2019,5,1,1,4,5,5.0
Singapore Airlines,Business,November 2019,3,2,3,4,3,2.7777777777777777
Singapore Airlines,Solo Leisure,November 2019,2,5,1,3,4,5.0
Singapore Airlines,Family Leisure,October 2019,4,4,1,5,3,3.2222222222222223
Singapore Airlines,Couple Leisure,November 2019,3,2,1,5,4,3.2222222222222223
Singapore Airlines,Family Leisure,November 2019,2,5,1,4,3,1.0
Singapore Airlines,Family Leisure,November 2019,3,5,2,1,4,5.0
Singapore Airlines,Solo Leisure,November 2019,5,1,4,4,2,2.7777777777777777
Singapore Airlines,Solo Leisure,November 2019,1,3,4,5,1,3.2222222222222223
Singapore Airlines,Couple Leisure,September 2019,5,1,5,3,4,4.555555555555555
Singapore Airlines,Couple Leisure,November 2019,4,5,2,1,5,5.0
Singapore Airlines,Couple Leisure,November 2019,2,2,5,4,3,3.2222222222222223
Singapore Airlines,Solo Leisure,November 2019,1,1,5,4,5,4.555555555555555
Singapore Airlines,Couple Leisure,November 2019,4,3,4,3,3,3.2222222222222223
Singapore Airlines,Solo Leisure,October 2019,4,4,4,5,4,4.111111111111111
Singapore Airlines,Solo Leisure,October 2019,5,5,5,5,1,1.0
Singapore Airlines,Couple Leisure,October 2019,1,5,5,3,4,3.666666666666666
Singapore Airlines,Couple Leisure,October 2019,1,1,4,5,3,1.4444444444444444
Singapore Airlines,Couple Leisure,June 2019,3,5,5,1,5,5.0
Singapore Airlines,Business,October 2019,1,4,5,4,1,1.8888888888888888
Singapore Airlines,Solo Leisure,August 2019,4,5,4,4,5,4.555555555555555
Singapore Airlines,Solo Leisure,October 2019,4,5,5,4,3,2.7777777777777777
Singapore Airlines,Business,September 2019,4,5,5,4,3,2.7777777777777777
Singapore Airlines,Family Leisure,October 2019,4,4,5,4,3,3.2222222222222223
Singapore Airlines,Family Leisure,October 2019,5,4,4,4,5,4.555555555555555
Singapore Airlines,Solo Leisure,October 2019,4,5,3,4,3,1.8888888888888888
Singapore Airlines,Family Leisure,September 2019,3,5,1,5,3,1.4444444444444444
Singapore Airlines,Family Leisure,October 2019,3,5,2,3,5,4.111111111111111
Singapore Airlines,Solo Leisure,October 2019,4,5,4,5,4,4.555555555555555
Singapore Airlines,Couple Leisure,October 2019,5,5,4,4,4,4.111111111111111
Singapore Airlines,Solo Leisure,October 2019,4,5,1,5,1,1.0
Singapore Airlines,Solo Leisure,October 2019,3,5,5,4,5,5.0
Singapore Airlines,Solo Leisure,August 2019,5,5,3,5,4,5.0
Singapore Airlines,Solo Leisure,September 2019,5,5,2,4,1,2.333333333333333
Singapore Airlines,Solo Leisure,October 2019,5,4,5,3,5,5.0
Singapore Airlines,Business,October 2019,5,5,5,4,1,2.7777777777777777
Singapore Airlines,Family Leisure,July 2019,5,5,1,1,4,4.111111111111111
Singapore Airlines,Family Leisure,September 2019,5,3,5,5,2,1.8888888888888888
Singapore Airlines,Couple Leisure,September 2019,5,4,2,3,5,5.0
Singapore Airlines,Business,September 2019,5,4,5,5,1,1.0
Singapore Airlines,Couple Leisure,September 2019,4,1,3,4,1,1.0
Singapore Airlines,Family Leisure,September 2019,3,5,1,2,1,1.4444444444444444
Singapore Airlines,Business,September 2019,5,3,1,2,1,1.0
Singapore Airlines,Solo Leisure,September 2019,4,2,4,3,4,3.2222222222222223
Singapore Airlines,Solo Leisure,September 2019,4,5,5,1,5,4.111111111111111
Singapore Airlines,Solo Leisure,September 2019,3,3,4,5,3,2.7777777777777777
Singapore Airlines,Family Leisure,September 2019,3,3,3,4,4,5.0
Singapore Airlines,Solo Leisure,September 2019,4,3,4,5,3,3.2222222222222223
Singapore Airlines,Family Leisure,June 2019,5,4,4,1,1,1.0
Singapore Airlines,Family Leisure,January 2019,5,5,5,5,5,4.555555555555555
Singapore Airlines,Solo Leisure,August 2019,1,4,1,5,4,4.111111111111111
Singapore Airlines,Solo Leisure,August 2019,4,5,2,3,4,4.111111111111111
Singapore Airlines,Solo Leisure,August 2019,1,5,5,2,5,4.111111111111111
Singapore Airlines,Solo Leisure,August 2019,5,5,5,5,5,5.0
Singapore Airlines,Couple Leisure,August 2019,3,3,3,4,5,4.555555555555555
Singapore Airlines,Solo Leisure,August 2019,1,4,5,4,5,5.0
Singapore Airlines,Solo Leisure,September 2019,4,3,1,4,4,4.555555555555555
Singapore Airlines,Family Leisure,August 2019,2,1,1,5,5,4.555555555555555
Singapore Airlines,Solo Leisure,July 2019,5,5,4,4,5,4.555555555555555
Singapore Airlines,Family Leisure,August 2019,3,1,4,4,5,5.0
Singapore Airlines,Couple Leisure,August 2019,3,4,4,4,1,1.0
Singapore Airlines,Solo Leisure,August 2019,4,5,4,5,4,4.111111111111111
Singapore Airlines,Business,August 2019,3,5,4,5,4,4.111111111111111
Singapore Airlines,Couple Leisure,August 2019,4,3,2,4,4,3.2222222222222223
Singapore Airlines,Solo Leisure,August 2019,2,5,5,2,5,4.555555555555555
Singapore Airlines,Business,August 2019,3,3,2,4,3,4.555555555555555
